feature,importance_mean,importance_std
salary_midpoint,0.09228695037104669,0.0011279341457818334
company_name_length,0.08646080692224481,0.0013919938876875307
skill_count,0.01752140426101345,0.0010220060267426363
is_remote,0.01725470194630154,0.0007456953179509811
minimum_experience,0.014340745382022301,0.0009205515814350567
title_length,0.010973800855820049,0.0009160500305871695
experience_range,0.008495087485792552,0.00041937956872912136
maximum_experience,0.005490372524992915,0.00010263772251656313
salary_range,0.004250598708628139,0.0004427033104646953
experience_midpoint,0.0034744903739432954,0.00028571124977520927
experience_missing,0.0,0.0
